,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
191,kanniyakumari,in,8.08,77.57,79.97,19.6,100.0,48.0
192,zabaykalsk,ru,49.63,117.32,77.0,4.61,48.0,36.0
193,alta floresta,br,-9.87,-56.08,77.0,3.15,83.0,0.0
194,muravlenko,ru,63.79,74.5,40.28,19.6,87.0,92.0
195,tres picos,mx,16.23,-93.58,84.2,14.99,54.0,90.0
196,padang,id,-0.92,100.36,84.2,6.29,100.0,44.0
197,inndyr,no,67.03,14.03,48.2,12.75,100.0,75.0
198,zemio,cf,5.02,25.13,68.27,2.48,94.0,8.0
199,bredasdorp,za,-34.53,20.04,62.6,3.36,48.0,92.0
200,sidhpura,in,27.63,78.87,82.13,11.21,63.0,0.0
201,vao,nc,-22.67,167.48,73.4,13.0,100.0,0.0
202,savinskiy,ru,62.93,40.14,36.77,7.4,64.0,12.0
203,yermakovskoye,ru,53.28,92.4,48.92,6.4,64.0,12.0
204,saldanha,za,-33.01,17.94,59.0,27.51,93.0,92.0
205,heihe,cn,33.22,106.45,57.65,2.71,100.0,92.0
207,pareora,nz,-44.49,171.21,35.15,4.38,100.0,8.0
208,butterworth,za,-32.33,28.14,57.92,8.75,51.0,0.0
209,bredy,ru,52.43,60.33,45.68,5.39,95.0,92.0
210,kamaishi,jp,39.28,141.86,60.8,2.24,100.0,75.0
211,jining,cn,35.41,116.58,77.18,4.38,58.0,0.0
212,san onofre,co,9.74,-75.52,82.85,6.73,87.0,8.0
213,tynda,ru,55.15,124.74,61.7,3.83,81.0,64.0
214,pundaguitan,ph,6.37,126.17,80.87,4.83,100.0,80.0
215,emerald,au,-23.53,148.16,56.57,6.62,53.0,12.0
217,cerrito,py,-25.87,-56.87,66.02,2.37,99.0,92.0
218,cockburn town,bs,24.03,-74.52,79.61,14.0,93.0,0.0
221,auki,sb,-8.77,160.7,82.58,3.71,98.0,32.0
222,natal,br,-5.81,-35.21,77.0,5.82,83.0,75.0
